raw_line,line_type,source_file
Evrak No :202504240,evrak,lescon    örme usd hs.xls
6.50$+KDV /JAKAR SUPREM POLY.ELASTAN ANTISTATIK APRE PFD,price_product,lescon    örme usd hs.xls
Evrak No :202508921,evrak,lescon    örme usd hs.xls
Evrak No :202504284,evrak,lescon    örme usd hs.xls
Evrak No :202504283,evrak,lescon    örme usd hs.xls
6.80$+KDV /3 AYAK RAPORLU YAGMUR DESEN WIKING APRE,price_product,lescon    örme usd hs.xls
Evrak No :202504302,evrak,lescon    örme usd hs.xls
Evrak No :202504291,evrak,lescon    örme usd hs.xls
Evrak No :202504488,evrak,lescon    örme usd hs.xls
Evrak No :202504404,evrak,lescon    örme usd hs.xls
Evrak No :202504428,evrak,lescon    örme usd hs.xls
Evrak No :202504427,evrak,lescon    örme usd hs.xls
"1.578.164,19 TL/40,8047 16.08.25 VD.ÇEK TAHSİL-FNo:184478",kur_farki,lescon    örme usd hs.xls
Evrak No :202504475,evrak,lescon    örme usd hs.xls
Evrak No :202504508,evrak,lescon    örme usd hs.xls
Evrak No :202504521,evrak,lescon    örme usd hs.xls
10$+KDV /NAYL.6 TAM MAT DIAGONEL OTTOMAN ELASTAN,price_product,lescon    örme usd hs.xls
"1.578.164,19 TL/40,9146 21.08.25 VD.ÇEK TAHSİL-FNo:184512",kur_farki,lescon    örme usd hs.xls
"177.470,68 TL/40,8047 16.08.25 VD.ÇEK FARKI-FNo:184516",kur_farki,lescon    örme usd hs.xls
Evrak No :202504581,evrak,lescon    örme usd hs.xls
Evrak No :202504578,evrak,lescon    örme usd hs.xls
2.50$+%20 KDV FASON BOYAMA,diger,lescon    örme usd hs.xls
"182.199,16 TL/40,9146 21.08.25 VD.ÇEK FARKI-FNo:184541",kur_farki,lescon    örme usd hs.xls
"1.578.164,19 TL/40,9942 26.08.25 VD.ÇEK TAHSİL-FNo:184543",kur_farki,lescon    örme usd hs.xls
Evrak No :202504661,evrak,lescon    örme usd hs.xls
6.80$+KDV /SCUBA INTERLOK POLY.ELASTAN,price_product,lescon    örme usd hs.xls
Evrak No :202504685,evrak,lescon    örme usd hs.xls
Evrak No :202504714,evrak,lescon    örme usd hs.xls
Evrak No :202504713,evrak,lescon    örme usd hs.xls
6.80$+KDV /INTERLOK SCUBA POLY.ELASTAN,price_product,lescon    örme usd hs.xls
Evrak No :202504723,evrak,lescon    örme usd hs.xls
Evrak No :202504743,evrak,lescon    örme usd hs.xls
"185.623,97 TL/40,9942 26.08.25 VD.ÇEK FARKI-FNo:184644",kur_farki,lescon    örme usd hs.xls
Evrak No :202504773,evrak,lescon    örme usd hs.xls
Evrak No :202504787,evrak,lescon    örme usd hs.xls
7.20$+KDV /SCUBA POLY.INCE ELASTAN,price_product,lescon    örme usd hs.xls
Evrak No :202504789,evrak,lescon    örme usd hs.xls
Evrak No :202504816,evrak,lescon    örme usd hs.xls
Evrak No :202504844,evrak,lescon    örme usd hs.xls
Evrak No :202504932,evrak,lescon    örme usd hs.xls
Evrak No :202504888,evrak,lescon    örme usd hs.xls
7.20$+KDV /SCUBA POLY.ELASTAN,price_product,lescon    örme usd hs.xls
Evrak No :202504940,evrak,lescon    örme usd hs.xls
"507.354,02 TL/41,3293 16.09.25 VD.ÇEK TAHSİL-FNo:184734",kur_farki,lescon    örme usd hs.xls
Evrak No :202504990,evrak,lescon    örme usd hs.xls
6.80$+KDV /SCUBA POLY.ELASTAN,price_product,lescon    örme usd hs.xls
Evrak No :202500334,evrak,lescon    örme usd hs.xls
"44.805,43 TL/41,3293 16.09.25 VD.ÇEK FARKI-FNo:184764",kur_farki,lescon    örme usd hs.xls
Evrak No :202505032,evrak,lescon    örme usd hs.xls
Evrak No :202505070,evrak,lescon    örme usd hs.xls
"507.354,02 TL/41,3087 21.09.25 VD.ÇEK TAHSİL-FNo:184780",kur_farki,lescon    örme usd hs.xls
Evrak No :202505073,evrak,lescon    örme usd hs.xls
Evrak No :202505203,evrak,lescon    örme usd hs.xls
6.50$+KDV /POLY.RAPORLU PIKE ELASTAN ANTISTATIK APRE,price_product,lescon    örme usd hs.xls
Evrak No :202505178,evrak,lescon    örme usd hs.xls
Evrak No :202505177,evrak,lescon    örme usd hs.xls
7$+KDV /JAKAR SUPREM POLY.ELASTAN ANTISTATIK APRE,price_product,lescon    örme usd hs.xls
Evrak No :202505176,evrak,lescon    örme usd hs.xls
Evrak No :202505191,evrak,lescon    örme usd hs.xls
"507.451,61 TL/41,4695 26.09.25 VD.ÇEK TAHSİL-FNo:184839",kur_farki,lescon    örme usd hs.xls
Evrak No :202505219,evrak,lescon    örme usd hs.xls
9.50$+KDV /INTERLOK POLY.ELASTAN WIKING APRE FRESH TUSE,price_product,lescon    örme usd hs.xls
Evrak No :202505260,evrak,lescon    örme usd hs.xls
Evrak No :202505259,evrak,lescon    örme usd hs.xls
Evrak No :202505285,evrak,lescon    örme usd hs.xls
Evrak No :202505284,evrak,lescon    örme usd hs.xls
"44.530,21 TL/41,3087 21.09.25 VD.ÇEK FARKI-FNo:184880",kur_farki,lescon    örme usd hs.xls
"46.687,49 TL/41,4695 26.09.25 VDÇEK FARKI-FNo:184880",kur_farki,lescon    örme usd hs.xls
Evrak No :202505320,evrak,lescon    örme usd hs.xls
9.50$+KDV /INTERLOK POLY.50/72 WIKING APRE FRESH TUSE,price_product,lescon    örme usd hs.xls
Evrak No :202505321,evrak,lescon    örme usd hs.xls
Evrak No :202505377,evrak,lescon    örme usd hs.xls
